Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,S071-004,LMG_23826,25MDFML003374-2A,MOD1_WNTSBCO4,10_6_2001,716,CS-42,CFSAN145334,CRZK,bq,CFSAN080751,1011-04,CFSAN142785,CS6162,CH43,CH65,CH44,CFSAN141446,CH84,CFSAN080747,25MDFML003369-4A,CS291,KubGAU_B-268,CFSAN129441,cro810A3,cro1489B1,HA18074,CFSAN141625,25MDFML004503-1A,25MDFML003369-3A,CH45,SC16,MOD1_LR736,CE52,CFSAN140976,CFSAN138565,CFSAN135223,S054-001,S053-001
rnr,rnr,Ribonuclease R,39,39,1,1,87,,,,2469,2469,2469,COBAIANA_02450,NCDGGIKE_00361,KEJBGJNJ_02474,JELDIHCN_00840,PBHEHNGA_02443,DALMCLCA_01661,ONIJJAOC_03878,OLEGOONE_00417,CMJCGDBJ_00141,FDIPHMPI_03379,GAFMEKNJ_00199,JJCAEOCL_02290,FIMNDECN_01223,BOLFLKJN_02650,MONHGDDE_04387,HENDCIDF_03884,BGHDJHLL_04075,MLDDBGFK_00343,OBCFPDNM_00833,PDLMEAGH_00178,MIEBPKLG_02474,FAKIMOAG_01947,AAJLDHNL_00457,HFELHBKN_00641,FPIHAPOB_00014,PLNCNKBH_01093,IMMFCMMB_02089,BDMJLJKB_00816,MDDFFGJE_00797,ADGPNKPL_01703,MFAJDMJN_04081,HOGJFGMH_02719,BFJHMAPM_02805,JFGMPIEF_02537,DOHFHPBA_01685,OAICLECK_01870,HGGDPEND_02460,PGNFGNII_01137,PDCFMNHJ_01586
group_30,,hypothetical protein,39,39,1,1,86,,,,174,174,174,COBAIANA_03262,NCDGGIKE_02428,KEJBGJNJ_00375,JELDIHCN_00273,PBHEHNGA_00556,DALMCLCA_04096,ONIJJAOC_02201,OLEGOONE_02184,CMJCGDBJ_01063,FDIPHMPI_01428,GAFMEKNJ_01071,JJCAEOCL_02135,FIMNDECN_02459,BOLFLKJN_02041,MONHGDDE_01802,HENDCIDF_00357,BGHDJHLL_02386,MLDDBGFK_03050,OBCFPDNM_00254,PDLMEAGH_00890,MIEBPKLG_00127,FAKIMOAG_01102,AAJLDHNL_01826,HFELHBKN_00933,FPIHAPOB_02347,PLNCNKBH_03865,IMMFCMMB_01644,BDMJLJKB_00127,MDDFFGJE_02237,ADGPNKPL_00127,MFAJDMJN_02595,HOGJFGMH_00963,BFJHMAPM_01475,JFGMPIEF_00956,DOHFHPBA_00666,OAICLECK_00092,HGGDPEND_00697,PGNFGNII_00666,PDCFMNHJ_00665
mdoH,mdoH,Glucans biosynthesis glucosyltransferase H,39,39,1,1,82,,,,2532,2532,2532,COBAIANA_01407,NCDGGIKE_02388,KEJBGJNJ_00340,JELDIHCN_00238,PBHEHNGA_00591,DALMCLCA_04061,ONIJJAOC_02166,OLEGOONE_01531,CMJCGDBJ_03291,FDIPHMPI_01461,GAFMEKNJ_03896,JJCAEOCL_00259,FIMNDECN_03467,BOLFLKJN_01923,MONHGDDE_01767,HENDCIDF_00392,BGHDJHLL_02351,MLDDBGFK_01603,OBCFPDNM_00219,PDLMEAGH_03765,MIEBPKLG_00162,FAKIMOAG_01138,AAJLDHNL_02355,HFELHBKN_01789,FPIHAPOB_03531,PLNCNKBH_00704,IMMFCMMB_01679,BDMJLJKB_00162,MDDFFGJE_02272,ADGPNKPL_00162,MFAJDMJN_02630,HOGJFGMH_00931,BFJHMAPM_00317,JFGMPIEF_00921,DOHFHPBA_00631,OAICLECK_00127,HGGDPEND_00732,PGNFGNII_00631,PDCFMNHJ_00630
cyaA,cyaA,Adenylate cyclase,39,39,1,1,81,,,,2547,2547,2547,COBAIANA_04044,NCDGGIKE_03664,KEJBGJNJ_04025,JELDIHCN_04100,PBHEHNGA_03442,DALMCLCA_01884,ONIJJAOC_01731,OLEGOONE_03763,CMJCGDBJ_04407,FDIPHMPI_00215,GAFMEKNJ_02945,JJCAEOCL_02373,FIMNDECN_03662,BOLFLKJN_02321,MONHGDDE_01381,HENDCIDF_01570,BGHDJHLL_01290,MLDDBGFK_03878,OBCFPDNM_01634,PDLMEAGH_02960,MIEBPKLG_03929,FAKIMOAG_04069,AAJLDHNL_03902,HFELHBKN_01431,FPIHAPOB_03357,PLNCNKBH_00431,IMMFCMMB_01031,BDMJLJKB_03730,MDDFFGJE_03665,ADGPNKPL_03707,MFAJDMJN_01290,HOGJFGMH_01397,BFJHMAPM_02925,JFGMPIEF_01115,DOHFHPBA_03984,OAICLECK_03227,HGGDPEND_03916,PGNFGNII_03748,PDCFMNHJ_03673
nasD,nasD,Nitrite reductase [NAD(P)H],39,39,1,1,80,,,,2547,2547,2547,COBAIANA_02940,NCDGGIKE_00163,KEJBGJNJ_03601,JELDIHCN_03713,PBHEHNGA_03051,DALMCLCA_03019,ONIJJAOC_04021,OLEGOONE_01780,CMJCGDBJ_04174,FDIPHMPI_03583,GAFMEKNJ_03085,JJCAEOCL_01031,FIMNDECN_02193,BOLFLKJN_00823,MONHGDDE_00876,HENDCIDF_01185,BGHDJHLL_00983,MLDDBGFK_03338,OBCFPDNM_01047,PDLMEAGH_01272,MIEBPKLG_03423,FAKIMOAG_02716,AAJLDHNL_03283,HFELHBKN_01879,FPIHAPOB_01344,PLNCNKBH_03787,IMMFCMMB_04220,BDMJLJKB_03217,MDDFFGJE_02822,ADGPNKPL_02930,MFAJDMJN_00980,HOGJFGMH_03394,BFJHMAPM_01010,JFGMPIEF_00256,DOHFHPBA_03456,OAICLECK_03582,HGGDPEND_01292,PGNFGNII_02874,PDCFMNHJ_02406
mrcA,mrcA,Penicillin-binding protein 1A,39,39,1,1,79,,,,2553,2553,2553,COBAIANA_02960,NCDGGIKE_00143,KEJBGJNJ_03581,JELDIHCN_03733,PBHEHNGA_03031,DALMCLCA_03039,ONIJJAOC_04001,OLEGOONE_01800,CMJCGDBJ_04153,FDIPHMPI_03604,GAFMEKNJ_03105,JJCAEOCL_01011,FIMNDECN_02213,BOLFLKJN_00803,MONHGDDE_00896,HENDCIDF_01205,BGHDJHLL_00963,MLDDBGFK_03318,OBCFPDNM_01027,PDLMEAGH_01252,MIEBPKLG_03403,FAKIMOAG_02695,AAJLDHNL_03263,HFELHBKN_01899,FPIHAPOB_01364,PLNCNKBH_03767,IMMFCMMB_04200,BDMJLJKB_03197,MDDFFGJE_02802,ADGPNKPL_02910,MFAJDMJN_00960,HOGJFGMH_03374,BFJHMAPM_01030,JFGMPIEF_00236,DOHFHPBA_03436,OAICLECK_03602,HGGDPEND_01272,PGNFGNII_02854,PDCFMNHJ_02386
rutF_1,rutF_1,FMN reductase (NADH) RutF,39,39,1,1,78,,,,501,501,501,COBAIANA_03260,NCDGGIKE_02426,KEJBGJNJ_00373,JELDIHCN_00271,PBHEHNGA_00558,DALMCLCA_04094,ONIJJAOC_02199,OLEGOONE_02182,CMJCGDBJ_01065,FDIPHMPI_01430,GAFMEKNJ_01073,JJCAEOCL_02137,FIMNDECN_02461,BOLFLKJN_02039,MONHGDDE_01800,HENDCIDF_00359,BGHDJHLL_02384,MLDDBGFK_03052,OBCFPDNM_00252,PDLMEAGH_00892,MIEBPKLG_00129,FAKIMOAG_01104,AAJLDHNL_01828,HFELHBKN_00935,FPIHAPOB_02349,PLNCNKBH_03863,IMMFCMMB_01646,BDMJLJKB_00129,MDDFFGJE_02239,ADGPNKPL_00129,MFAJDMJN_02597,HOGJFGMH_00961,BFJHMAPM_01473,JFGMPIEF_00954,DOHFHPBA_00664,OAICLECK_00094,HGGDPEND_00699,PGNFGNII_00664,PDCFMNHJ_00663
mutS,mutS,DNA mismatch repair protein MutS,39,39,1,1,77,,,,2562,2562,2562,COBAIANA_02112,NCDGGIKE_00716,KEJBGJNJ_02124,JELDIHCN_03411,PBHEHNGA_00958,DALMCLCA_03151,ONIJJAOC_03268,OLEGOONE_00061,CMJCGDBJ_03052,FDIPHMPI_03051,GAFMEKNJ_00785,JJCAEOCL_03972,FIMNDECN_02918,BOLFLKJN_01213,MONHGDDE_03425,HENDCIDF_03226,BGHDJHLL_03370,MLDDBGFK_00014,OBCFPDNM_03784,PDLMEAGH_00426,MIEBPKLG_02124,FAKIMOAG_02304,AAJLDHNL_00120,HFELHBKN_02620,FPIHAPOB_01876,PLNCNKBH_01219,IMMFCMMB_02460,BDMJLJKB_00487,MDDFFGJE_04287,ADGPNKPL_03100,MFAJDMJN_03375,HOGJFGMH_02366,BFJHMAPM_01433,JFGMPIEF_03073,DOHFHPBA_01357,OAICLECK_03895,HGGDPEND_01409,PGNFGNII_00809,PDCFMNHJ_01258
clpB,clpB,Chaperone protein ClpB,39,39,1,1,76,,,,2574,2574,2574,COBAIANA_01988,NCDGGIKE_00820,KEJBGJNJ_04104,JELDIHCN_00819,PBHEHNGA_00839,DALMCLCA_03067,ONIJJAOC_03364,OLEGOONE_04056,CMJCGDBJ_02216,FDIPHMPI_02970,GAFMEKNJ_00679,JJCAEOCL_03580,FIMNDECN_03985,BOLFLKJN_03551,MONHGDDE_02193,HENDCIDF_02343,BGHDJHLL_01501,MLDDBGFK_03735,OBCFPDNM_02241,PDLMEAGH_00308,MIEBPKLG_04075,FAKIMOAG_02430,AAJLDHNL_00001,HFELHBKN_03192,FPIHAPOB_01056,PLNCNKBH_02630,IMMFCMMB_02544,BDMJLJKB_03584,MDDFFGJE_04182,ADGPNKPL_04020,MFAJDMJN_01504,HOGJFGMH_02248,BFJHMAPM_04158,JFGMPIEF_00157,DOHFHPBA_01272,OAICLECK_03415,HGGDPEND_01324,PGNFGNII_03788,PDCFMNHJ_03713
leuS,leuS,Leucine--tRNA ligase,39,39,1,1,74,,,,2583,2583,2583,COBAIANA_01776,NCDGGIKE_02728,KEJBGJNJ_00670,JELDIHCN_00568,PBHEHNGA_00169,DALMCLCA_02182,ONIJJAOC_02513,OLEGOONE_00561,CMJCGDBJ_00541,FDIPHMPI_01131,GAFMEKNJ_00943,JJCAEOCL_02988,FIMNDECN_00349,BOLFLKJN_00552,MONHGDDE_02097,HENDCIDF_00061,BGHDJHLL_02681,MLDDBGFK_01939,OBCFPDNM_00549,PDLMEAGH_01118,MIEBPKLG_00783,FAKIMOAG_00794,AAJLDHNL_01531,HFELHBKN_00128,FPIHAPOB_00248,PLNCNKBH_03048,IMMFCMMB_01312,BDMJLJKB_01258,MDDFFGJE_01069,ADGPNKPL_00780,MFAJDMJN_02299,HOGJFGMH_01260,BFJHMAPM_01770,JFGMPIEF_03675,DOHFHPBA_00961,OAICLECK_01060,HGGDPEND_02308,PGNFGNII_01740,PDCFMNHJ_03831
acnB,acnB,Aconitate hydratase B,39,39,1,1,73,,,,2598,2598,2598,COBAIANA_02792,NCDGGIKE_03176,KEJBGJNJ_02674,JELDIHCN_02228,PBHEHNGA_01458,DALMCLCA_02357,ONIJJAOC_02782,OLEGOONE_01257,CMJCGDBJ_00778,FDIPHMPI_00698,GAFMEKNJ_02277,JJCAEOCL_01155,FIMNDECN_02155,BOLFLKJN_01365,MONHGDDE_02480,HENDCIDF_02856,BGHDJHLL_00431,MLDDBGFK_01513,OBCFPDNM_01883,PDLMEAGH_02064,MIEBPKLG_01712,FAKIMOAG_01458,AAJLDHNL_02526,HFELHBKN_01731,FPIHAPOB_01234,PLNCNKBH_00618,IMMFCMMB_02621,BDMJLJKB_01160,MDDFFGJE_00074,ADGPNKPL_01393,MFAJDMJN_00431,HOGJFGMH_02139,BFJHMAPM_03704,JFGMPIEF_02905,DOHFHPBA_01884,OAICLECK_01477,HGGDPEND_03800,PGNFGNII_01281,PDCFMNHJ_00810
topA_1,topA_1,DNA topoisomerase 1,39,39,1,1,72,,,,2598,2598,2598,COBAIANA_00715,NCDGGIKE_01775,KEJBGJNJ_01342,JELDIHCN_03679,PBHEHNGA_03984,DALMCLCA_02885,ONIJJAOC_00379,OLEGOONE_02493,CMJCGDBJ_03461,FDIPHMPI_02076,GAFMEKNJ_03227,JJCAEOCL_00916,FIMNDECN_01441,BOLFLKJN_00112,MONHGDDE_00084,HENDCIDF_01829,BGHDJHLL_01981,MLDDBGFK_00871,OBCFPDNM_02796,PDLMEAGH_02231,MIEBPKLG_01456,FAKIMOAG_00419,AAJLDHNL_03768,HFELHBKN_02562,FPIHAPOB_03420,PLNCNKBH_00160,IMMFCMMB_00794,BDMJLJKB_03857,MDDFFGJE_01914,ADGPNKPL_02433,MFAJDMJN_01618,HOGJFGMH_00275,BFJHMAPM_02647,JFGMPIEF_02029,DOHFHPBA_02681,OAICLECK_00984,HGGDPEND_00124,PGNFGNII_03934,PDCFMNHJ_03935
clpV1_2,clpV1_2,Protein ClpV1,39,39,1,1,70,,,,2616,2616,2616,COBAIANA_03494,NCDGGIKE_03967,KEJBGJNJ_03398,JELDIHCN_03525,PBHEHNGA_02249,DALMCLCA_02542,ONIJJAOC_04152,OLEGOONE_02668,CMJCGDBJ_04065,FDIPHMPI_00051,GAFMEKNJ_03315,JJCAEOCL_01353,FIMNDECN_03065,BOLFLKJN_03036,MONHGDDE_04126,HENDCIDF_04148,BGHDJHLL_04336,MLDDBGFK_02643,OBCFPDNM_03920,PDLMEAGH_03489,MIEBPKLG_03077,FAKIMOAG_03430,AAJLDHNL_03416,HFELHBKN_03490,FPIHAPOB_03243,PLNCNKBH_03321,IMMFCMMB_03821,BDMJLJKB_02725,MDDFFGJE_02453,ADGPNKPL_02727,MFAJDMJN_04350,HOGJFGMH_04087,BFJHMAPM_00731,JFGMPIEF_04005,DOHFHPBA_03599,OAICLECK_02825,HGGDPEND_03579,PGNFGNII_03264,PDCFMNHJ_03145
alaS,alaS,Alanine--tRNA ligase,39,39,1,1,69,,,,2628,2628,2628,COBAIANA_02101,NCDGGIKE_00729,KEJBGJNJ_02113,JELDIHCN_03422,PBHEHNGA_00947,DALMCLCA_03140,ONIJJAOC_03279,OLEGOONE_00050,CMJCGDBJ_02962,FDIPHMPI_03040,GAFMEKNJ_00774,JJCAEOCL_03961,FIMNDECN_02929,BOLFLKJN_01224,MONHGDDE_03436,HENDCIDF_03237,BGHDJHLL_03381,MLDDBGFK_00003,OBCFPDNM_03795,PDLMEAGH_00415,MIEBPKLG_02113,FAKIMOAG_02315,AAJLDHNL_00109,HFELHBKN_02609,FPIHAPOB_02567,PLNCNKBH_01208,IMMFCMMB_02471,BDMJLJKB_00476,MDDFFGJE_04298,ADGPNKPL_03089,MFAJDMJN_03386,HOGJFGMH_02355,BFJHMAPM_01444,JFGMPIEF_03062,DOHFHPBA_01346,OAICLECK_03906,HGGDPEND_01398,PGNFGNII_00798,PDCFMNHJ_01247
yebT,yebT,Intermembrane transport protein YebT,39,39,1,1,68,,,,2634,2634,2634,COBAIANA_00567,NCDGGIKE_01557,KEJBGJNJ_01196,JELDIHCN_02916,PBHEHNGA_02783,DALMCLCA_01933,ONIJJAOC_00599,OLEGOONE_00904,CMJCGDBJ_01317,FDIPHMPI_02241,GAFMEKNJ_01421,JJCAEOCL_01832,FIMNDECN_01883,BOLFLKJN_00261,MONHGDDE_00231,HENDCIDF_01976,BGHDJHLL_01834,MLDDBGFK_02437,OBCFPDNM_02649,PDLMEAGH_02709,MIEBPKLG_01310,FAKIMOAG_00567,AAJLDHNL_01344,HFELHBKN_01519,FPIHAPOB_03835,PLNCNKBH_03533,IMMFCMMB_00648,BDMJLJKB_02376,MDDFFGJE_01506,ADGPNKPL_02025,MFAJDMJN_01765,HOGJFGMH_00128,BFJHMAPM_02353,JFGMPIEF_01804,DOHFHPBA_02536,OAICLECK_00838,HGGDPEND_02954,PGNFGNII_02419,PDCFMNHJ_01951
group_27,,hypothetical protein,39,39,1,1,67,,,,1836,1842,1841.846154,COBAIANA_00290,NCDGGIKE_01288,KEJBGJNJ_01707,JELDIHCN_03159,PBHEHNGA_03858,DALMCLCA_00572,ONIJJAOC_00838,OLEGOONE_03318,CMJCGDBJ_02721,FDIPHMPI_02485,GAFMEKNJ_02409,JJCAEOCL_03428,FIMNDECN_02847,BOLFLKJN_03591,MONHGDDE_00518,HENDCIDF_01048,BGHDJHLL_01547,MLDDBGFK_04040,OBCFPDNM_01203,PDLMEAGH_02320,MIEBPKLG_03670,FAKIMOAG_03213,AAJLDHNL_01102,HFELHBKN_03544,FPIHAPOB_00444,PLNCNKBH_02954,IMMFCMMB_00405,BDMJLJKB_03890,MDDFFGJE_03921,ADGPNKPL_03429,MFAJDMJN_02052,HOGJFGMH_03875,BFJHMAPM_04343,JFGMPIEF_01566,DOHFHPBA_03096,OAICLECK_03043,HGGDPEND_03393,PGNFGNII_02176,PDCFMNHJ_01708
pat_2,pat_2,Peptidyl-lysine N-acetyltransferase Pat,39,39,1,1,65,,,,2661,2661,2661,COBAIANA_03234,NCDGGIKE_00832,KEJBGJNJ_02102,JELDIHCN_01564,PBHEHNGA_02129,DALMCLCA_00009,ONIJJAOC_01268,OLEGOONE_02158,CMJCGDBJ_02340,FDIPHMPI_02957,GAFMEKNJ_02793,JJCAEOCL_01336,FIMNDECN_00938,BOLFLKJN_02015,MONHGDDE_04003,HENDCIDF_01407,BGHDJHLL_03468,MLDDBGFK_00861,OBCFPDNM_01228,PDLMEAGH_02509,MIEBPKLG_02958,FAKIMOAG_03770,AAJLDHNL_00644,HFELHBKN_00409,FPIHAPOB_02830,PLNCNKBH_04059,IMMFCMMB_00009,BDMJLJKB_03356,MDDFFGJE_02972,ADGPNKPL_03079,MFAJDMJN_03744,HOGJFGMH_02786,BFJHMAPM_00296,JFGMPIEF_01166,DOHFHPBA_03819,OAICLECK_02227,HGGDPEND_03357,PGNFGNII_03611,PDCFMNHJ_03489
aceE,aceE,Pyruvate dehydrogenase E1 component,39,39,1,1,64,,,,2664,2664,2664,COBAIANA_02785,NCDGGIKE_03183,KEJBGJNJ_02681,JELDIHCN_02235,PBHEHNGA_01451,DALMCLCA_02350,ONIJJAOC_02789,OLEGOONE_01264,CMJCGDBJ_00771,FDIPHMPI_00691,GAFMEKNJ_02284,JJCAEOCL_01148,FIMNDECN_02148,BOLFLKJN_01373,MONHGDDE_02487,HENDCIDF_02849,BGHDJHLL_00424,MLDDBGFK_01506,OBCFPDNM_01890,PDLMEAGH_02071,MIEBPKLG_01719,FAKIMOAG_01466,AAJLDHNL_02519,HFELHBKN_01738,FPIHAPOB_01047,PLNCNKBH_00625,IMMFCMMB_02628,BDMJLJKB_01153,MDDFFGJE_00081,ADGPNKPL_01386,MFAJDMJN_00424,HOGJFGMH_02132,BFJHMAPM_03697,JFGMPIEF_02898,DOHFHPBA_01891,OAICLECK_01470,HGGDPEND_03793,PGNFGNII_01288,PDCFMNHJ_00817
acnA,acnA,Aconitate hydratase A,39,39,1,1,63,,,,2676,2676,2676,COBAIANA_00719,NCDGGIKE_01779,KEJBGJNJ_01346,JELDIHCN_03675,PBHEHNGA_03980,DALMCLCA_02881,ONIJJAOC_00375,OLEGOONE_02489,CMJCGDBJ_04290,FDIPHMPI_02072,GAFMEKNJ_03231,JJCAEOCL_00920,FIMNDECN_01437,BOLFLKJN_00108,MONHGDDE_00080,HENDCIDF_01825,BGHDJHLL_01985,MLDDBGFK_00875,OBCFPDNM_02800,PDLMEAGH_02235,MIEBPKLG_01460,FAKIMOAG_00415,AAJLDHNL_03772,HFELHBKN_02558,FPIHAPOB_01674,PLNCNKBH_01138,IMMFCMMB_00798,BDMJLJKB_03853,MDDFFGJE_01918,ADGPNKPL_02437,MFAJDMJN_01614,HOGJFGMH_00279,BFJHMAPM_02651,JFGMPIEF_02033,DOHFHPBA_02685,OAICLECK_00988,HGGDPEND_00128,PGNFGNII_03930,PDCFMNHJ_03931
adhE,adhE,Aldehyde-alcohol dehydrogenase,39,39,1,1,61,,,,2679,2679,2679,COBAIANA_00683,NCDGGIKE_01743,KEJBGJNJ_01310,JELDIHCN_02802,PBHEHNGA_02897,DALMCLCA_02917,ONIJJAOC_00412,OLEGOONE_02525,CMJCGDBJ_00392,FDIPHMPI_02109,GAFMEKNJ_01646,JJCAEOCL_00883,FIMNDECN_01473,BOLFLKJN_00144,MONHGDDE_00117,HENDCIDF_01862,BGHDJHLL_01948,MLDDBGFK_03704,OBCFPDNM_02763,PDLMEAGH_03038,MIEBPKLG_01424,FAKIMOAG_00451,AAJLDHNL_01469,HFELHBKN_01015,FPIHAPOB_01802,PLNCNKBH_00966,IMMFCMMB_00762,BDMJLJKB_03553,MDDFFGJE_01882,ADGPNKPL_02401,MFAJDMJN_01651,HOGJFGMH_00243,BFJHMAPM_02479,JFGMPIEF_01997,DOHFHPBA_02649,OAICLECK_00952,HGGDPEND_00092,PGNFGNII_02532,PDCFMNHJ_02064
secA,secA,Protein translocase subunit SecA,39,39,1,1,59,,,,2706,2706,2706,COBAIANA_02769,NCDGGIKE_03209,KEJBGJNJ_02697,JELDIHCN_02251,PBHEHNGA_01435,DALMCLCA_02334,ONIJJAOC_02805,OLEGOONE_01280,CMJCGDBJ_02607,FDIPHMPI_00675,GAFMEKNJ_02300,JJCAEOCL_01132,FIMNDECN_02120,BOLFLKJN_01389,MONHGDDE_02503,HENDCIDF_02833,BGHDJHLL_00408,MLDDBGFK_01490,OBCFPDNM_01906,PDLMEAGH_02096,MIEBPKLG_01735,FAKIMOAG_01482,AAJLDHNL_02503,HFELHBKN_01754,FPIHAPOB_00912,PLNCNKBH_01995,IMMFCMMB_02644,BDMJLJKB_01137,MDDFFGJE_00097,ADGPNKPL_01370,MFAJDMJN_00408,HOGJFGMH_02116,BFJHMAPM_03681,JFGMPIEF_02882,DOHFHPBA_01915,OAICLECK_01454,HGGDPEND_02779,PGNFGNII_01312,PDCFMNHJ_00841
infB,infB,Translation initiation factor IF-2,39,39,1,1,58,,,,2712,2712,2712,COBAIANA_03905,NCDGGIKE_03483,KEJBGJNJ_02975,JELDIHCN_01077,PBHEHNGA_02640,DALMCLCA_00998,ONIJJAOC_01353,OLEGOONE_03375,CMJCGDBJ_00368,FDIPHMPI_00400,GAFMEKNJ_00335,JJCAEOCL_00724,FIMNDECN_02651,BOLFLKJN_03161,MONHGDDE_01015,HENDCIDF_00755,BGHDJHLL_00101,MLDDBGFK_02824,OBCFPDNM_01447,PDLMEAGH_01567,MIEBPKLG_02013,FAKIMOAG_01797,AAJLDHNL_02698,HFELHBKN_01668,FPIHAPOB_00654,PLNCNKBH_02039,IMMFCMMB_02953,BDMJLJKB_02568,MDDFFGJE_00375,ADGPNKPL_03463,MFAJDMJN_00101,HOGJFGMH_01807,BFJHMAPM_03403,JFGMPIEF_00521,DOHFHPBA_02242,OAICLECK_02624,HGGDPEND_03139,PGNFGNII_01616,PDCFMNHJ_01145
nuoG,nuoG,NADH-quinone oxidoreductase subunit G,39,39,1,1,57,,,,2736,2736,2736,COBAIANA_00129,NCDGGIKE_01137,KEJBGJNJ_01856,JELDIHCN_01318,PBHEHNGA_03393,DALMCLCA_00423,ONIJJAOC_01018,OLEGOONE_03186,CMJCGDBJ_01102,FDIPHMPI_02691,GAFMEKNJ_01105,JJCAEOCL_00531,FIMNDECN_00637,BOLFLKJN_01828,MONHGDDE_01499,HENDCIDF_00549,BGHDJHLL_03715,MLDDBGFK_00614,OBCFPDNM_04155,PDLMEAGH_01825,MIEBPKLG_02712,FAKIMOAG_03741,AAJLDHNL_00901,HFELHBKN_00739,FPIHAPOB_02448,PLNCNKBH_02991,IMMFCMMB_00255,BDMJLJKB_01726,MDDFFGJE_01726,ADGPNKPL_02245,MFAJDMJN_03497,HOGJFGMH_03089,BFJHMAPM_00050,JFGMPIEF_01419,DOHFHPBA_02889,OAICLECK_01650,HGGDPEND_02018,PGNFGNII_03008,PDCFMNHJ_02611
polA,polA,DNA polymerase I,39,39,1,1,54,,,,2784,2784,2784,COBAIANA_03481,NCDGGIKE_03858,KEJBGJNJ_03278,JELDIHCN_00751,PBHEHNGA_03206,DALMCLCA_02765,ONIJJAOC_03764,OLEGOONE_03527,CMJCGDBJ_02249,FDIPHMPI_03848,GAFMEKNJ_02587,JJCAEOCL_01956,FIMNDECN_02620,BOLFLKJN_03651,MONHGDDE_00666,HENDCIDF_04272,BGHDJHLL_00513,MLDDBGFK_04088,OBCFPDNM_04266,PDLMEAGH_02910,MIEBPKLG_04027,FAKIMOAG_02438,AAJLDHNL_03021,HFELHBKN_02883,FPIHAPOB_01402,PLNCNKBH_02120,IMMFCMMB_03941,BDMJLJKB_04019,MDDFFGJE_03997,ADGPNKPL_03973,MFAJDMJN_00513,HOGJFGMH_03120,BFJHMAPM_03994,JFGMPIEF_00465,DOHFHPBA_03152,OAICLECK_03542,HGGDPEND_00988,PGNFGNII_02570,PDCFMNHJ_02102
ileS,ileS,Isoleucine--tRNA ligase,39,39,1,1,51,,,,2817,2817,2817,COBAIANA_02702,NCDGGIKE_03271,KEJBGJNJ_02764,JELDIHCN_02318,PBHEHNGA_01368,DALMCLCA_02267,ONIJJAOC_02872,OLEGOONE_01347,CMJCGDBJ_03539,FDIPHMPI_00608,GAFMEKNJ_04172,JJCAEOCL_03215,FIMNDECN_02053,BOLFLKJN_01458,MONHGDDE_02570,HENDCIDF_02766,BGHDJHLL_00341,MLDDBGFK_01423,OBCFPDNM_01973,PDLMEAGH_02770,MIEBPKLG_01802,FAKIMOAG_01550,AAJLDHNL_02436,HFELHBKN_01949,FPIHAPOB_03751,PLNCNKBH_03690,IMMFCMMB_02711,BDMJLJKB_01070,MDDFFGJE_00164,ADGPNKPL_01303,MFAJDMJN_00341,HOGJFGMH_02048,BFJHMAPM_03614,JFGMPIEF_02815,DOHFHPBA_01982,OAICLECK_01387,HGGDPEND_02712,PGNFGNII_01379,PDCFMNHJ_00908
uvrA_2,uvrA_2,UvrABC system protein A,39,39,1,1,49,,,,2826,2826,2826,COBAIANA_03814,NCDGGIKE_00291,KEJBGJNJ_02550,JELDIHCN_01889,PBHEHNGA_02519,DALMCLCA_01585,ONIJJAOC_01638,OLEGOONE_03221,CMJCGDBJ_00470,FDIPHMPI_03450,GAFMEKNJ_00438,JJCAEOCL_02562,FIMNDECN_03886,BOLFLKJN_02578,MONHGDDE_01473,HENDCIDF_01659,BGHDJHLL_01347,MLDDBGFK_00419,OBCFPDNM_01694,PDLMEAGH_00261,MIEBPKLG_02550,FAKIMOAG_03921,AAJLDHNL_00607,HFELHBKN_02301,FPIHAPOB_00530,PLNCNKBH_00206,IMMFCMMB_02013,BDMJLJKB_00892,MDDFFGJE_00873,ADGPNKPL_01779,MFAJDMJN_01350,HOGJFGMH_04243,BFJHMAPM_04207,JFGMPIEF_02465,DOHFHPBA_01761,OAICLECK_01946,HGGDPEND_02536,PGNFGNII_01213,PDCFMNHJ_01662
glnE,glnE,Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme,39,39,1,1,48,,,,2838,2838,2838,COBAIANA_02289,NCDGGIKE_00516,KEJBGJNJ_02297,JELDIHCN_04038,PBHEHNGA_01131,DALMCLCA_03324,ONIJJAOC_03093,OLEGOONE_00238,CMJCGDBJ_01933,FDIPHMPI_03230,GAFMEKNJ_00014,JJCAEOCL_00185,FIMNDECN_01070,BOLFLKJN_02260,MONHGDDE_03252,HENDCIDF_03053,BGHDJHLL_03197,MLDDBGFK_00187,OBCFPDNM_03611,PDLMEAGH_00014,MIEBPKLG_02297,FAKIMOAG_02109,AAJLDHNL_00293,HFELHBKN_03763,FPIHAPOB_02082,PLNCNKBH_00061,IMMFCMMB_02268,BDMJLJKB_00660,MDDFFGJE_00620,ADGPNKPL_01526,MFAJDMJN_03202,HOGJFGMH_02558,BFJHMAPM_01260,JFGMPIEF_03256,DOHFHPBA_01530,OAICLECK_02028,HGGDPEND_01582,PGNFGNII_00982,PDCFMNHJ_01431
